,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
321,call,31/01/2020,1267.5,215.1613325,214.1,216.2,218.3,1.038667498,0
322,call,31/01/2020,1270,212.6635157,211.4,213.6,215.8,0.93648426,0
323,call,31/01/2020,1272.5,210.165699,208.9,211.1,213.3,0.934301022,0
324,call,31/01/2020,1275,207.6678822,206.6,208.7,210.8,1.032117784,0
325,call,31/01/2020,1277.5,205.1700655,204.1,206.2,208.3,1.029934546,0
326,call,31/01/2020,1280,202.6722487,201.6,203.7,205.8,1.027751308,0
327,call,31/01/2020,1282.5,200.1749362,199.1,201.2,203.3,1.025063801,0
328,call,31/01/2020,1285,197.6776502,196.6,198.7,200.8,1.022349752,0
329,call,31/01/2020,1287.5,195.1803643,194.1,196.2,198.3,1.019635704,0
330,call,31/01/2020,1290,192.6830783,191.6,193.7,195.8,1.016921656,0
331,call,31/01/2020,1292.5,190.1857924,188.9,191.4,193.9,1.214207607,0
332,call,31/01/2020,1295,187.6885064,186.4,188.9,191.4,1.211493559,0
333,call,31/01/2020,1297.5,185.1912205,183.9,186.4,188.9,1.208779511,0
334,call,31/01/2020,1300,182.6939345,181.4,183.8,186.2,1.106065462,0
335,call,31/01/2020,1302.5,180.1966486,178.9,181.3,183.7,1.103351414,0
336,call,31/01/2020,1305,177.7012918,176.2,178.65,181.1,0.948708163,0
337,call,31/01/2020,1307.5,175.2060016,173.7,176.15,178.6,0.943998388,0
338,call,31/01/2020,1310,172.7107114,171.2,173.65,176.1,0.939288613,0
339,call,31/01/2020,1312.5,170.2154212,168.9,171.3,173.7,1.084578838,0
340,call,31/01/2020,1315,167.7201309,166.4,168.8,171.2,1.079869063,0
341,call,31/01/2020,1317.5,165.2248407,163.9,166.35,168.8,1.125159288,0
342,call,31/01/2020,1320,162.7295505,161.4,163.85,166.3,1.120449513,0
343,call,31/01/2020,1322.5,160.2342603,158.7,161.2,163.7,0.965739738,0
344,call,31/01/2020,1325,157.73897,156.2,158.7,161.2,0.961029963,0
345,call,31/01/2020,1327.5,155.2501824,153.9,156.3,158.7,1.049817576,0
346,call,31/01/2020,1330,152.761505,151.4,153.75,156.1,0.988494975,0
347,call,31/01/2020,1332.5,150.2728276,148.9,151.35,153.8,1.077172374,0
348,call,31/01/2020,1335,147.7841502,146.5,148.9,151.3,1.115849773,0
